id,description,alternativeDescription,city,province,cap,address,phone,piva,notes,mail,sector_id
1923,"ALIEN TT ITALY SRL",,NULL,NULL,,"VIA CRISTOFORO COLOMBO 348   00145 ROMA RM",,NULL,BOLDPAGE@PEC-LEGAL.IT,BOLDPAGE@PEC-LEGAL.IT,10
1924,"ALLIANCE HEALTHCARE ITALIA DISTRIBUZIONE S.P.A.",,NULL,NULL,,"Via Tiburtina, 1310
00131 Roma(RM)",,NULL,AHID@LEGALMAIL.IT,AHID@LEGALMAIL.IT,10
1925,"ALLSTAR S.R.L.",,"Bolzano * Bozen",Bolzano,39100,"VIA JOHAN KRAVOGL 2",,,,ALLSTAR@PEC.ADMIRALCLUB.IT,16
1926,"ALOSYS COMUNICATIONS S.R.L.",,NULL,NULL,,"Via Andrea del Castagno,12
00142 Roma",,NULL,alosys.communications@pec.alosys.it,alosys.communications@pec.alosys.it,10
1927,"ALPHABET ITALIA FLEET MANAGEMENT S.P.A.",,NULL,NULL,,"VIA DELL'UNIONE EUROPEA 4
20097 SAN DONATO MILANESE (MI)",,NULL,INFO@ALPHABETCERT.IT,INFO@ALPHABETCERT.IT,10
1928,"AMERICAN EXPRESS SEL",,Roma,Roma,00148,"VIALE ALEXANDRE GUSTAVE EIFFEL 15  ",,,,americanexpressitalia@legalmail.it,10
1929,"AMPLIFON ITALIA S.P.A.",,NULL,NULL,,"VIA RIPAMONTI 131/133   20141 MILANO MI",,NULL,AMPLIFONITALIA@PEC.AMPLIFON.IT,AMPLIFONITALIA@PEC.AMPLIFON.IT,10
1930,"AMREF HEALTH AFRICA ONLUS",,NULL,NULL,,"Via degli Scialoja, 3
00196 Roma",0699704650,NULL,amref@pec.amref.it,amref@pec.amref.it,1
1931,"ANGEL SAT VIGILANZA S.R.L.",,NULL,NULL,,"VIA NARO 76
POMEZIA (RM)",,NULL,angelsatvigilanza@pec.it,angelsatvigilanza@pec.it,17
1932,"ANMIL S.R.L.",,NULL,NULL,,,,NULL,ANMILSRL@PEC.ANMIL.IT,ANMILSRL@PEC.ANMIL.IT,10
1933,"AON ADVISORY AND SOLUTIONS S.R.L.",,NULL,NULL,,"Via Andrea Ponti 8/10
20143 Milano",,NULL,HEWITT@PEC.AON.IT,HEWITT@PEC.AON.IT,1
1934,"AON S.P.A.",,NULL,NULL,,,,NULL,aon.spa@pec.aon.it,aon.spa@pec.aon.it,10
1935,"APPLE ITALIA RETAIL S.R.L.",,NULL,NULL,,"C.SO VERCELLI 4020145 MILANO MI",,NULL,APPLERETAILITALIASRL@LEGALMAIL.IT,APPLERETAILITALIASRL@LEGALMAIL.IT,10
1936,"APR VACANZE S.R.L.",,NULL,NULL,,"Via di Portonaccio, 164
00159 Roma (RM)",,NULL,apr@pec.cgn.it,apr@pec.cgn.it,2
1937,"ARCADIA EVENTI E SERVICE S.R.L.",,Roma,Roma,00185,"VIA CASTELFIDARDO, 43",,"06694561009 ",,info@pec.arcadiaeventi.it,1
1938,"ARCOBALENO SOC.COOP.",,Colleferro,Roma,,,,,,ARCOBALENOSOCCOP@PECIMPRESE.IT,18
1939,"ARES S.R.L.",,NULL,NULL,,"VIA VALCAMONICA 6/8  00141 ROMA RM",,NULL,ARESSERVIZI@PEC.IT,ARESSERVIZI@PEC.IT,3
1940,"ARGO  S.R.L. (RECEPTION)",,NULL,NULL,,,,,,,15
1941,"ARGO SRL",,Pomezia,Roma,00040,"Via Pontina Vecchia, km 31,300",,,,argovigilanza@pec.it,17
1942,"ARIALUCE SRL",,NULL,NULL,,,,NULL,arialuce@legalmail.it,arialuce@legalmail.it,16
1943,"ARNABOLDI SRL",,NULL,NULL,,"VIA MONTENAPOLEONE,5
20121 MILANO (MI)",,NULL,ARNABOLDIMI@LEGALMAIL.IT,ARNABOLDIMI@LEGALMAIL.IT,1
1944,"AROMATIKA S.R.L.",,NULL,NULL,,"VIA MONTESPERTOLI 37   00189 ROMA RM",,NULL,AROMATIKA@PEC.IT,AROMATIKA@PEC.IT,10
1945,"ARTATTACK GROUP S.R.L.",,NULL,NULL,,"VICOLO DELLA FRUSTA 9
00113 ROMA RM",,NULL,AMMINISTRAZIONE@PEC.ARTATTACKGROUP.COM,AMMINISTRAZIONE@PEC.ARTATTACKGROUP.COM,10
1946,"ARTSANA S.P.A",,NULL,NULL,,,,NULL,istituzionale@pec-artsana.it,istituzionale@pec-artsana.it,10
1947,"ASA SERVIZI S.R.L.",,NULL,NULL,,"Piazza Del Comune 
Tivoli (RM)",,NULL,asaservizisrl@pec.it,asaservizisrl@pec.it,10
1948,"ASSET CAMERA",,NULL,NULL,,,,NULL,ASSETCAMERA@LEGALMAIL.IT,ASSETCAMERA@LEGALMAIL.IT,1
1949,"ASSOCIAZIONE DIFESA E ORIENTAMENTO CONSUMATORI -ADOC-",,NULL,NULL,,"VIA CASTEL FIDARDO,43/4500185 ROMA",,,ADOC@PEC.IT,ADOC@PEC.IT,3
1950,"ASTER VIGILANZA SRL",,NULL,NULL,,"Via dei Fabbri Navali, 1800122 Roma (RM)",,,astervigilanzasrl@pec.it,astervigilanzasrl@pec.it,15
1951,"AUREA S.R.L.",,NULL,NULL,,"SS148 PONTINA, KM 52,450 04011 APRILIA (LT)",0692871026,,AUREA@MYPEC.EU,AUREA@MYPEC.EU,16
1952,"AUTHENTICA S.P.A. ",,NULL,NULL,,"VIALE DELLO STADIO 77 05100 TERNI (TR)",,,"EX FABBRO SPA, AZIENDA CONFLUITA IN AUTHENTICA",authenticaspa@pec.it,13
1953,"AUTOGRILL (raccordo)",,NULL,NULL,,,,,,autogrill@legalmail.it,16
1954,"AUTOGRILL ITALIA SPA",,NULL,NULL,,"Centro Direzionale Milano Fiori  Strada 5, Palazzo Z 20089 Rozzano Milano (MI)",,,autogrill@legalmail.it,autogrill@legalmail.it,16
1955,"AUTONOMO ROTAZIONE A",,Roma,Roma,,,,,,,1
1956,"AUTONOMO ROTAZIONE B",,Roma,Roma,,,,,,,10
1957,"AUTONOMO ROTAZIONE C",,Roma,Roma,,,,,,,10
1958,"AUTONOMO ROTAZIONE INTEGRATIVA",,Roma,Roma,,,,,,,10
1959,"AUTOSERVIZI CASTELLO",,NULL,NULL,,,,NULL,AUTOSERVIZICASTELLOSOCCOOP@LEGALMAIL.IT,AUTOSERVIZICASTELLOSOCCOOP@LEGALMAIL.IT,10
1960,"AXITEA SPA",,Roma,Roma,,,,,axiteaspa@axitea-pec.it,axiteaspa@axitea-pec.it,17
1961,"AZIENDA PLURISERVIZI MONTEROTONDO",,NULL,NULL,,,,NULL,apmpec@pec.it,apmpec@pec.it,11
1962,"AZIENDA SERVIZI PUBBLICI SPA (ASP CIAMPINO)",,NULL,NULL,,"L.go Felice Armati, 1 Ciampino (RM)",,,aziendaservizipubblicispa@legalmail.it,aziendaservizipubblicispa@legalmail.it,11
1963,"AZIENDE ALBERGHIERE BETTOJA SPA",,NULL,NULL,,,,NULL,bettojahotelsspa@legalmail.it,bettojahotelsspa@legalmail.it,8
1964,"TPC EUROPE S.R.L.",,Milano,Milano,20121,"VIA PONTACCIO, 10",,,"EX BAGLIONI HOTELS SPA
",baglionihotels@legalmail.it,8
1965,"BAR BANQUETING S.R.L.",,NULL,NULL,,"LARGO BRANCACCIO 82
00184 ROMA RM",,NULL,BARBANQUETING@LEGALMAIL.IT,BARBANQUETING@LEGALMAIL.IT,16
1966,"BARANES S.R.L.",,NULL,NULL,,,,NULL,BARANESSRL@PEC.IT,BARANESSRL@PEC.IT,10
1967,"BATTISTOLLI SERVIZI INTEGRATI S.R.L",,Vicenza,Vicenza,,"Via Basilio Dalla Scola 88Vicenza (VI)",,,b.s.i@legalmail.it,b.s.i@legalmail.it,15
1968,"BAW S.R.L.",,NULL,NULL,,,,NULL,BAWSRL@PEC.IT,BAWSRL@PEC.IT,10
1969,"BIALETTI STORE SRL",,NULL,NULL,,"VIA FOGLIANO, 25030 COCCAGLIO (BS)",,NULL,BIALETTISTORESRL@LEGALMAIL.IT,BIALETTISTORESRL@LEGALMAIL.IT,10
1970,"BIORISTORO ITALIA S.R.L.",,NULL,NULL,,,,NULL,info@pec.bioristoroitalia.it,info@pec.bioristoroitalia.it,13
1971,"BIOS SPA",,NULL,NULL,,"Via Domenico Chellini, 30
00100 Roma",,NULL,direzionebiosspa@pec.it,direzionebiosspa@pec.it,10
1972,"BLUE LION FOOD S.P.A. (EX FABBRO SPA)",,NULL,NULL,,"VIA DEI BOSSI, 10 
20121 MILANO (MI)",,NULL,personale@pec.blueliongroup.it,personale@pec.blueliongroup.it,13
1973,"BMW ITALIA S.P.A.",,NULL,NULL,,,,NULL,info.bmwitalia@bmwcert.it,info.bmwitalia@bmwcert.it,10
1974,"BMW ROMA S.R.L.",,NULL,NULL,,"Via Salaria, 1268 
00138 Roma (RM)",,NULL,hr.bmwroma@bmwcert.it,hr.bmwroma@bmwcert.it,10
1975,"BOLDPAGE S.R.L.",,NULL,NULL,,"Via Cristoforo Colombo, 348
00145 Roma (RM)",,NULL,boldpage@pec-legal.it,boldpage@pec-legal.it,1
1976,"BRAWNEY S.R.L.",,NULL,NULL,,,,NULL,BRAWNEYSRL@LEGALMAIL.IT,BRAWNEYSRL@LEGALMAIL.IT,10
1977,"BREAK & LUNCH S.R.L.",,Frosinone,Frosinone,,"VIALE DELLA REPUBBLICA 24/28  20100 CORNAREDO (MI)",,,breaklunch@legalmail.it,breaklunch@legalmail.it,16
1978,"BTV S.P.A.",,NULL,NULL,,"VIA LUCA DELLA ROBBIA 60, 36100 VICENZA",,,,BTVSPA@LEGALMAIL.IT,17
1979,"BTV S.P.A. (FROSINONE)",,NULL,NULL,,,,,,btvspa@legalmail.it,17
1980,"BTX ITALIAN RETAIL AND BRANDS SRL",,NULL,NULL,,,,NULL,GROWCAP_ITALY@LEGALMAIL.IT,GROWCAP_ITALY@LEGALMAIL.IT,10
1981,"BURBERRY ITALY S.R.L.",,NULL,NULL,,"VIA MONTENAPOLEONE 12 
20121 MILANO",,NULL,BURBERRY.ITALY@POSTE-CERTIFICATE.EU,BURBERRY.ITALY@POSTE-CERTIFICATE.EU,10
1982,"BURGER ROMA S.R.L.",,NULL,NULL,,"via Tiburtina, 474

00159 Roma (RM)",,NULL,burgerroma@pec.burgerroma.it,burgerroma@pec.burgerroma.it,16
1983,"BURGERKING RESTAURANTS S.P.A.",,NULL,NULL,,"STRADA 1 PALAZZO F4 SNC
20090 ASSAGO MI",,NULL,BKRESTAURANTSITALIA@LEGALMAIL.IT,BKRESTAURANTSITALIA@LEGALMAIL.IT,16
1984,"BUSINESS SERVICE S.R.L.",,NULL,NULL,,,,,,business.servicessrl@legalmail.it,14
1985,"C.I.R. FOOD S.C.",,NULL,NULL,,"via Tenuta del Cavaliere, 1 Palazzina B c/o CAR 00012 Guidonia (RM)",,,"CentroSud@cert.cirfood.com (pec alternativa per invio deleghe/comunicazioni)",HR.CentroSud@cert.cirfood.com,13
1986,"C.I.T.A. SRL",,NULL,NULL,,"VIA SABOTINO,4500195 ROMA (RM)",,,,cita.srl@legalmail.it,8
1987,"C.M. S.R.L.",,NULL,NULL,,,,NULL,cmsrl2020@legalmail.it,cmsrl2020@legalmail.it,10
1988,"C.M. SERVICE SRL",,Roma,Roma,,,,,,info@pec.cmservicesrl.it,3
1989,"C.N.A. CAF LAZIO S.R.L.",,NULL,NULL,,"VIALE G.MASSAIA N. 31
00151 ROMA (RM)",,NULL,cnaroma@cert.cna.it,cnaroma@cert.cna.it,1
1990,"C.R. MARKET S.P.A.",,NULL,NULL,,,,,,crmarketspa@pec.it,10
1991,C.W.G.C.,,NULL,NULL,,"Via delle conce, 20
00154 Roma (RM)","065099911 ; 3458348261",NULL,cwgc@pec.it,cwgc@pec.it,18
1992,CADIPROF,,NULL,NULL,,"Viale Pasteur,65
00144 Roma",0654210812,NULL,cadiprof@postecert.it,cadiprof@postecert.it,1
1993,"CADIS SRL",,NULL,NULL,,"VIA DI CASTEL PORZIANO 29",,NULL,CADIS2019@LEGALMAIL.IT,CADIS2019@LEGALMAIL.IT,10
1994,"CAERGEST S.R.L.",,NULL,NULL,,"CARREFOUR LADISPOLI",,NULL,CAERGEST@PEC.IT,CAERGEST@PEC.IT,10
1995,"CAF ILA",,NULL,NULL,,,,NULL,,NULL,10
1996,"CALZEDONIA S.P.A.",,"Villafranca Di Verona",Verona,37069,"VIA MONTE BALDO 20",,,amministrazione@pec.calzedonia.it,amministrazione@pec.calzedonia.it,10
1997,"CAM S.R.L.",,NULL,NULL,,,,NULL,cam1srl@legalmail.it,cam1srl@legalmail.it,10
1998,"CAMST SOC.COOP A.R.L.",,NULL,NULL,,,0516017405,NULL,camst@legalmail.it,camst@legalmail.it,13
1999,"CAPITALE LAVORO S.P.A.",,NULL,NULL,,,,NULL,CAPITALELAVORO@PEC.CAPITALELAVOROSPA.IT,CAPITALELAVORO@PEC.CAPITALELAVOROSPA.IT,10
2000,"CARLSON WAGON ITALIA S.R.L.",,NULL,NULL,,,,NULL,CWITALIA@LEGALMAIL.IT,CWITALIA@LEGALMAIL.IT,2
2001,"CAVE S.R.L.",,NULL,NULL,,"Ciampino (RM) - 
Via Gaetano Donizetti 14",,NULL,cavesrl3@legalmail.it,cavesrl3@legalmail.it,1
2002,"CBF SRL",,NULL,NULL,,,,NULL,cbf@pecpvs.it,cbf@pecpvs.it,10
2003,"CE.PAS. S.R.L.","GRUPPO DEM SUPERMERCATI",NULL,NULL,,,,,CE.PAS@PEC.IT,CE.PAS@PEC.IT,10
2004,"CENTRO DI ASSISTENZA FISCALE DELL'UNIONE ITALIANA DEL LAVORO S.P.A - C.A.F. UIL S.P.A.",,NULL,NULL,,"Via Castel Fidardo, 43-4500185 Roma (RM)",,,cafuil@pec.cafuil.it,cafuil@pec.cafuil.it,1
2005,"CENTRO PERIZIE LIQUIDATIVE S.A.S. DI FESTA PELLEGRINO & C.",,Frosinone,Frosinone,,,,,CPLINFORTUNISTICA@PEC.MAILEXPRESS.IT,CPLINFORTUNISTICA@PEC.MAILEXPRESS.IT,18
2006,"CERBA HEALTH CARE ITALIA S.R.L.",,NULL,NULL,,,,NULL,ITALIA@PEC.CERBAHEALTHCARE.IT,ITALIA@PEC.CERBAHEALTHCARE.IT,18
2007,"CEVA LOGISTICS",,NULL,NULL,,"Strada 3 Palazzo B5
20090 Assago (MI)",0289230343,NULL,CEVALOGISTICSITALIA@CEVA.LEGALMAIL.IT,CEVALOGISTICSITALIA@CEVA.LEGALMAIL.IT,10
2008,"CHEF EXPRESS (raccordo)",,NULL,NULL,,,,NULL,,NULL,16
2009,"CHEF EXPRESS SPA",,"Castelvetro Di Modena",Modena,41014,"Via Modena, 53",,,,upe@pec.chefexpress.it,16
2010,"CHIRASS SRL",,NULL,NULL,,,,NULL,chirass@legalmail.it,chirass@legalmail.it,16
2011,"CILIS SCARL",,NULL,NULL,,"VIA DELLA MAGLIANA 422 RM",,,COOP_CILIS@PEC.IT,COOP_CILIS@PEC.IT,15
2012,"CIMAS SPA",,NULL,NULL,,,,NULL,cimassrl@legalmail.it,cimassrl@legalmail.it,13
2013,"CISALFA SPORT S.P.A.",,NULL,NULL,,,,NULL,AMMINISTRAZIONE.CISALFA@LEGALMAIL.IT,AMMINISTRAZIONE.CISALFA@LEGALMAIL.IT,10
2014,"CIVITASTORE SRL",,NULL,NULL,,"V.LE PALMIRO TOGLIATTI 29",,,,CIVITASTORE@PECPVS.IT,10
2015,"CIVITAVECCHIA SERVIZI PUBBLICI S.r.l.",,NULL,NULL,,"PIAZZA GUGLIELMOTTI, 7
00053 CIVITAVECCHIA (RM)",,NULL,CIVITAVECCHIASERVIZIPUBBLICISRL@LEGALMAIL.IT,CIVITAVECCHIASERVIZIPUBBLICISRL@LEGALMAIL.IT,3
2016,"CLARANET S.R.L.",,NULL,NULL,,"C.SO SEMPIONE 9 20145 MILANO (MI)",,NULL,CLARANETSRL@LEGALMAIL.IT,CLARANETSRL@LEGALMAIL.IT,10
2017,"CLEAN SYSTEM S.R.L.",,NULL,NULL,,"VIA E.FERMI 2
03100 FROSINONE (FR)",,NULL,CLEANSYSTEMSRL@ARUBAPEC.IT,CLEANSYSTEMSRL@ARUBAPEC.IT,10
2018,"CO.PI.EC. SRL",,NULL,NULL,,,,NULL,COPIEC@PECPVS.IT,COPIEC@PECPVS.IT,10
2019,"COIN S.P.A.",,NULL,NULL,,"Via Terraglio, 17
30174 Mestre Venezia (VE)",,NULL,coin@pec.coin.it,coin@pec.coin.it,10
2020,"COLSER SERVIZI S.R.L.",,NULL,NULL,,,,NULL,COLSER.SERVIZI@PEC.COLSER.COM,COLSER.SERVIZI@PEC.COLSER.COM,3
2021,"COMFER S.R.L.",,NULL,NULL,,"VIA DEI CASALI DI ACQUAFREDDA 15
00166 ROMA","06 61520600",NULL,comfer@arubapec.it,comfer@arubapec.it,10
2022,"COMIFAR DISTRIBUZIONE SPA",,NULL,NULL,,"Via Fratelli di Dio, 2
20026 Novate Milanese (MI)",,NULL,ammin.personale.comifar@legalmail.it,ammin.personale.comifar@legalmail.it,10
2023,"COMMUNIA SERVICE SRL",,NULL,NULL,,,,NULL,COMMUNIASERVICESRL@LEGALMAIL.IT,COMMUNIASERVICESRL@LEGALMAIL.IT,8
2024,"COMPAR s.p.a",,NULL,NULL,,"VIA A. VOLTA 6
LIMENA (PD)",,NULL,comparbata@legalmail.it,comparbata@legalmail.it,10
2025,"COMPASS ",,Civitavecchia,Roma,,,,,,,13
2026,"COMPASS GROUP ITALIA SPA",,NULL,NULL,,"Via Angelo Scarsellini, 14
 20161 Milano (MI)",,NULL,compassgroupitalia@pec.it,compassgroupitalia@pec.it,13
2027,"CON. FID. STATION S.R.L.",,NULL,NULL,,"VIA WOLFGANG GOETHE, 27 (BZ)",0471973784,,confidstation@pec.confidstation.it,confidstation@pec.confidstation.it,18
2028,"CONDOMINIO LE VILLE DI MARCO",,NULL,NULL,,"VIA MARCO SIMONE, 80",,,,omnia.service.sas@legalmail.it,14
2029,"CONGREGAZIONE BENEDETTINE SUORE RIPARATRICI - L'ASSUNTA RSA",,NULL,NULL,,,,NULL,RSALASSUNTA@PEC.IT,RSALASSUNTA@PEC.IT,18
2030,"CONGREGAZIONE BENEDETTINE SUORE RIPARATRICI DEL SANTO VOLTO RSA",,NULL,NULL,,"VIA CESARE BATTISTI 7 
SANTA MARINELLA",,NULL,SUORESANTOVOLTO@PEC.IT,SUORESANTOVOLTO@PEC.IT,18
2031,"CONGREGAZIONE SUORE OSPEDALIERE DELLA MISERICORDIA",,"Santa Marinella",Roma,00058,"VIA MELEAGRO 3",,,,CLINICAMATERMISERICORDIAE@LEGALMAIL.IT,18
2032,"CONSORZIO OLGIATA",,NULL,NULL,,,,NULL,PEC.CONSORZIO.OLGIATA@PEC.IT,PEC.CONSORZIO.OLGIATA@PEC.IT,17
2033,"CONSORZIO STABILE I.A.S.",,NULL,NULL,,"VIA FLAVIO DOMIZIANO 9
00147 ROMA RM",0659473120,NULL,CONS.STABILEIAS@LEGALMAIL.IT,CONS.STABILEIAS@LEGALMAIL.IT,3
2034,"CONSULFIN S.R.L.",,NULL,NULL,,"Via Alessadnro de Stefani, 60
00100 Roma (RM)",,NULL,consulfin@legalmail.it,consulfin@legalmail.it,1
2035,"CONTROLPOL SERVIZI DI SICUREZZA S.R.L.",,Frosinone,Frosinone,,"SS 155 PER FIUGGI 03100 FROSINONE FR",,,CONTROLPOLSRL@PEC.IT,CONTROLPOLSRL@PEC.IT,17
2036,"COOP. SOCIALE CASA COMUNE 2000 ONLUS",,NULL,NULL,,,,NULL,CASACOMUNE2000@LEGALMAIL.IT,CASACOMUNE2000@LEGALMAIL.IT,18
2037,"COOPCULTURE SOC.COOP.",,NULL,NULL,,"VIA SOMMACAMPAGNA, 9
00185 ROMA (RM)",,NULL,COOPCULTURE@PEC.IT,COOPCULTURE@PEC.IT,3
2038,"COOPERATIVA NASCE UN SORRISO",,NULL,NULL,,,,NULL,NASCEUNSORRISO@CGN.LEGALMAIL.IT,NASCEUNSORRISO@CGN.LEGALMAIL.IT,18
2039,"ISTITUTO DI VIGILANZA COOPSERVICE S.P.A. (RECEPTION)",,NULL,NULL,,"VIA ROCHDALE,542122 REGGIO EMILIA (RE)",,,"COOPSERVICESPA.VIGILANZA@LEGALMAIL.IT
AMMINISTRAZIONE.COOPSERVICE@LEGALMAIL.IT",AMMINISTRAZIONE.COOPSERVICE@LEGALMAIL.IT,15
2040,"ISTITUTO DI VIGILANZA COOPSERVICE S.P.A.",,"Reggio Nell'Emilia","Reggio E.",42122,"Via Rochdale, 5",,,amministrazione.coopservice@legalmail.it,COOPSERVICESPA.VIGILANZA@LEGALMAIL.IT,17
2041,"COSMOPOL SECURITY S.R.L. (CIVITAVECCHIA)",,NULL,NULL,,,,NULL,,NULL,17
2042,"COSMOPOL SERVIZI INTEGRATI",,NULL,NULL,,"CENTRO DIREZIONALE ISOLA (NA) 80100NAPOLI",,,SOGESI@CASELLACERTIFICATA.IT,SOGESI@CASELLACERTIFICATA.IT,15
2043,"CRIDA S.R.L.",,NULL,NULL,,"V.LE PARIOLI 180 00197 ROMA RM",,NULL,CRIDA2017@LEGALMAIL.IT,CRIDA2017@LEGALMAIL.IT,10
2044,"CRISOFILA S.R.L.",,Roma,Roma,,,,,,CRISOFILASRL@PECPVS.IT,10
2045,"CRIVELLI23 S.R.L.",,NULL,NULL,,"PIAZZA R.B. CRIVELLI 14  00159 ROMA RM",,,,crivelli23srl@legalmail.it,10
2046,"CSM GLOBAL SECURITY SRL",,NULL,NULL,,"VIA O. RAIMONDO,46/6000173 ROMA (RM)",,,CSMGLOBALSECURITYSERVICE@LEGALMAIL.IT,CSMGLOBALSECURITYSERVICE@LEGALMAIL.IT,17
2047,"CULTURE SOCIETA' COOPERATIVA",,NULL,NULL,,"VIA GOITO, 39/41 
00185 ROMA(RM)",,NULL,coopculture@pec.it,coopculture@pec.it,1
2048,"CYDONIA HOTELS ITALIA SRL",,Roma,Roma,,"VIA CASILINA  125",,,CYDONIAHOTELSITALIA@LEGALMAIL.IT,CYDONIAHOTELSITALIA@LEGALMAIL.IT,8
2049,"D.I.P. SPA",,NULL,NULL,,"VIA COMMERCIALE 29
35010 FRATTE DI S.GIUSTINA IN COLLE PD",,NULL,DIPSPA@PEC.IT,DIPSPA@PEC.IT,10
2050,"D.M.C. GESTIONI S.R.L.",,NULL,NULL,,,,NULL,dmcgestionisrl@pec.it,dmcgestionisrl@pec.it,18
2051,"DAMA & G. DREAM S.R.L.",,NULL,NULL,,,,NULL,DAMAEGDREAM@LEGALMAIL.IT,DAMAEGDREAM@LEGALMAIL.IT,8
2052,"DAN JOHN ITALIA S.R.L.",,NULL,NULL,,"VIA CIRO MENOTTI 1  ROMA RM",,,DJROMA@PEC.I,DJROMA@PEC.IT,10
2053,"DANTE S.R.L.",,NULL,NULL,,,,NULL,dantesrl@legalmail.it,dantesrl@legalmail.it,16
2054,"DECATHLON ITALIA SRL",,NULL,NULL,,"VIALE VALASSINA  268   20851 LISSONE - MB",,,DECATHLONITALIA@PEC.IT,DECATHLONITALIA@PEC.IT,12
2055,"DEKRA ITALIA S.R.L.",,NULL,NULL,,,,NULL,risorseumane.dekra@pec.it,risorseumane.dekra@pec.it,10
2056,"DELTA BIOLOGICALS SRL",,NULL,NULL,,"VIA NICARAGUA, 12/14
00148 ROMA (RM)",,NULL,delta_biologicals_srl@pec.deltabiologicals.it,delta_biologicals_srl@pec.deltabiologicals.it,10
2057,"DEMAS S.R.L.",,Roma,Roma,00131,"VIA DI SALONE 132 ",,,DEMAS@SPAZIOPEC.IT,DEMAS@SPAZIOPEC.IT,10
2058,"DES ARTISTES SRL",,NULL,NULL,,,,NULL,DESARTISTESSRL@PEC.IT,DESARTISTESSRL@PEC.IT,8
2059,"DEUTSCHES REISEBUERO S.R.L.",,NULL,NULL,,,,NULL,DEUTSCHES.REISEBUERO@LEGALMAIL.IT,DEUTSCHES.REISEBUERO@LEGALMAIL.IT,10
